model,period,portfolio_size,transaction_cost,strategy,months,strategy_total_return,bist100_total_return,excess_return_over_benchmark,avg_monthly_return,strategy_max_drawdown,bist100_max_drawdown,win_rate,selection_score,best_month,best_month_return,worst_month,worst_month_return
momentum_heavy,train,15,0.002,top_15,43,1.626345219419704,1.075422626952499,0.550922592467205,0.025963712200973977,-0.2563730755200543,-0.24757740982109966,0.6046511627906976,0.34050202282244524,2021-10-31,0.22299380280694564,2020-02-29,-0.17266680769287426
momentum_heavy,validation,3,0.002,top_3,24,4.780797995234097,3.2415637612067236,1.539234234027373,0.08339019625026402,-0.11682133757120183,-0.1617839465479347,0.625,1.6180915588849694,2022-09-30,0.358593432018907,2023-09-30,-0.11682133757120187
momentum_heavy,validation,5,0.002,top_5,24,3.957801854936654,3.2415637612067236,0.7162380937299302,0.0760229749887592,-0.1542326896315963,-0.1617839465479347,0.625,0.7202727144667376,2022-09-30,0.3073586309942826,2022-08-31,-0.10584546750008121
momentum_heavy,validation,10,0.002,top_10,24,3.9004502272996984,3.2415637612067236,0.6588864660929747,0.07438505161196994,-0.1339748652883498,-0.1617839465479347,0.6666666666666666,0.7242700688496084,2022-07-31,0.31371790092871443,2023-09-30,-0.0887849398083648
momentum_heavy,validation,15,0.002,top_15,24,3.711403600086718,3.2415637612067236,0.46983983887999425,0.07242448002907301,-0.10614258370373764,-0.1617839465479347,0.6666666666666666,0.5908880048058522,2022-07-31,0.2862820805504124,2023-09-30,-0.10614258370373766
trend_following,out_of_sample,3,0.002,top_3,31,0.49801004666983206,0.7017284489818203,-0.20371840231198823,0.016109383167410816,-0.1767009167520508,-0.1675447420399082,0.6129032258064516,-0.250668622912864,2025-12-31,0.273326540254691,2026-02-28,-0.13060109111342613
trend_following,out_of_sample,5,0.002,top_5,31,0.348017448276827,0.7017284489818203,-0.3537110007049933,0.012654429739524197,-0.19480512529947702,-0.1675447420399082,0.5483870967741935,-0.4691277029168506,2025-12-31,0.2354717394308512,2024-09-30,-0.12050022655652584
trend_following,out_of_sample,10,0.002,top_10,31,0.41934205603693675,0.7017284489818203,-0.28238639294488355,0.014010937263991921,-0.22207823694444906,-0.1675447420399082,0.5161290322580645,-0.4684783507047494,2025-12-31,0.24068889351107292,2024-09-30,-0.11527798799698061
trend_following,out_of_sample,15,0.002,top_15,31,0.5997995649037768,0.7017284489818203,-0.10192888407804346,0.017548125303659748,-0.17465764224737235,-0.1675447420399082,0.6129032258064516,-0.14479255566956234,2025-12-31,0.22193609774934833,2024-09-30,-0.10414265467540909
trend_following,train,3,0.002,top_3,43,1.3262657093588475,1.075422626952499,0.25084308240634856,0.023701875141345977,-0.34552817096859667,-0.24757740982109966,0.6511627906976745,-0.11463186418200755,2021-10-31,0.23540868306964624,2020-02-29,-0.24928421672750553
trend_following,train,5,0.002,top_5,43,2.216698417973006,1.075422626952499,1.1412757910205071,0.03068786399255413,-0.24519643045584216,-0.24757740982109966,0.6976744186046512,0.9997201394111483,2021-10-31,0.20238349499873892,2020-02-29,-0.1545519921633296
trend_following,train,10,0.002,top_10,43,1.782340125967969,1.075422626952499,0.7069174990154701,0.027030971758076283,-0.23588926724383397,-0.24757740982109966,0.6511627906976745,0.5607203598766394,2021-10-31,0.22710185482955217,2020-02-29,-0.1613996640935838
trend_following,train,15,0.002,top_15,43,1.6206940601704662,1.075422626952499,0.5452714332179673,0.025919104739448397,-0.2563730755200543,-0.24757740982109966,0.6046511627906976,0.3348508635732076,2021-10-31,0.22299380280694564,2020-02-29,-0.17266680769287426
trend_following,validation,3,0.002,top_3,24,5.37273608711804,3.2415637612067236,2.131172325911316,0.08732217032984359,-0.11682133757120183,-0.1617839465479347,0.625,2.210029650768912,2022-09-30,0.358593432018907,2023-09-30,-0.11682133757120187
trend_following,validation,5,0.002,top_5,24,4.400848220903478,3.2415637612067236,1.159284459696754,0.07933101368730493,-0.10584546750008128,-0.1617839465479347,0.625,1.2600935246965914,2022-09-30,0.3073586309942826,2022-08-31,-0.10584546750008121
trend_following,validation,10,0.002,top_10,24,3.689509301536381,3.2415637612067236,0.4479455403296573,0.07205757117699853,-0.13305824022599544,-0.1617839465479347,0.6666666666666666,0.5151623932109997,2022-07-31,0.27503113612407437,2023-09-30,-0.0887849398083648
trend_following,validation,15,0.002,top_15,24,3.749877152120603,3.2415637612067236,0.5083133909138793,0.07281331137762431,-0.0986031136432276,-0.1617839465479347,0.6666666666666666,0.6444404969607573,2022-07-31,0.28628208055041243,2023-09-30,-0.09636512708909918
volume_heavy,out_of_sample,3,0.002,top_3,31,0.24431257785423832,0.7017284489818203,-0.457415871127582,0.010500471728603014,-0.20492020250959064,-0.1675447420399082,0.5161290322580645,-0.609191760017731,2025-12-31,0.2385056375071013,2026-02-28,-0.13532835877178387
volume_heavy,out_of_sample,5,0.002,top_5,31,0.2505325030073362,0.7017284489818203,-0.4511959459744841,0.01020972852692049,-0.22071275998301476,-0.1675447420399082,0.5806451612903226,-0.6022988852953524,2025-12-31,0.2354717394308512,2024-09-30,-0.14010003265410959
