model,period,portfolio_size,transaction_cost,selection_score,strategy_total_return,bist100_total_return,excess_return_over_benchmark,strategy_max_drawdown,bist100_max_drawdown,win_rate
trend_following,out_of_sample,5,0.002,-0.4208801272330349,0.3177643568203561,0.6240272625659802,-0.3062629057456241,-0.1944053849372538,-0.1675447420399082,0.5483870967741935
trend_following,out_of_sample,10,0.002,-0.41311203081898773,0.39700718327325424,0.6240272625659802,-0.22702007929272594,-0.22207823382764702,-0.1675447420399082,0.5161290322580645
trend_following,out_of_sample,15,0.002,-0.07248054752428129,0.5944104063546718,0.6240272625659802,-0.029616856211308384,-0.17465765210809936,-0.1675447420399082,0.6129032258064516
trend_following,train,3,0.002,-0.11463045423680673,1.3262667898981055,1.075422626952499,0.25084416294560663,-0.3455280062656253,-0.24757740982109966,0.6511627906976745
trend_following,train,5,0.002,0.9997206092279984,2.216698694288585,1.075422626952499,1.141276067336086,-0.24519633370520655,-0.24757740982109966,0.6976744186046512
trend_following,train,10,0.002,0.5607204189185616,1.7823401089226527,1.075422626952499,0.7069174819701538,-0.2358892292002147,-0.24757740982109966,0.6511627906976745
trend_following,train,15,0.002,0.33485060915029285,1.620693807865298,1.075422626952499,0.545271180912799,-0.2563730765789275,-0.24757740982109966,0.6046511627906976
trend_following,validation,3,0.002,2.2100303411162674,5.3727367004593285,3.2415637612067236,2.131172939252605,-0.11682129906816863,-0.1617839465479347,0.625
trend_following,validation,5,0.002,1.260093513534281,4.400848138627613,3.2415637612067236,1.1592843774208896,-0.10584543194330431,-0.1617839465479347,0.625
trend_following,validation,10,0.002,0.5151617388073362,3.6895087004563214,3.2415637612067236,0.4479449392495978,-0.13305826688779743,-0.1617839465479347,0.6666666666666666
trend_following,validation,15,0.002,0.6444408674167228,3.7498774797232066,3.2415637612067236,0.508313718516483,-0.09860309221654673,-0.1617839465479347,0.6666666666666666
volume_heavy,out_of_sample,3,0.002,-0.6112318340053264,0.15792435598652488,0.6240272625659802,-0.4661029065794553,-0.2015967217774517,-0.1675447420399082,0.5161290322580645
volume_heavy,out_of_sample,5,0.002,-0.5702330970037452,0.20489713316947666,0.6240272625659802,-0.4191301293965035,-0.2207127741262015,-0.1675447420399082,0.5806451612903226
volume_heavy,out_of_sample,10,0.002,-0.3738368767699929,0.4182130203288461,0.6240272625659802,-0.20581424223713407,-0.21304357533094553,-0.1675447420399082,0.5161290322580645
volume_heavy,out_of_sample,15,0.002,-0.12144090797262458,0.5452472263462327,0.6240272625659802,-0.0787800362197475,-0.17455624232805145,-0.1675447420399082,0.6129032258064516
volume_heavy,train,3,0.002,-0.2603163631301292,1.2412106751923906,1.075422626952499,0.16578804823989168,-0.37584290335942905,-0.24757740982109966,0.6511627906976745
volume_heavy,train,5,0.002,0.43282803320400093,1.7053483372801672,1.075422626952499,0.6299257103276683,-0.2671534897246244,-0.24757740982109966,0.6744186046511628
volume_heavy,train,10,0.002,0.7975256292052763,2.0044566589306028,1.075422626952499,0.9290340319781039,-0.22854489906083242,-0.24757740982109966,0.6511627906976745
volume_heavy,train,15,0.002,0.2697679932467964,1.5736384808582984,1.075422626952499,0.4982158539057995,-0.2595727675388039,-0.24757740982109966,0.5813953488372093
volume_heavy,validation,3,0.002,0.21961297765142973,3.3844053489295067,3.2415637612067236,0.1428415877227831,-0.11786430503567669,-0.1617839465479347,0.625
volume_heavy,validation,5,0.002,-0.08980150165128808,3.059158771875439,3.2415637612067236,-0.18240498933128446,-0.10994825616000181,-0.1617839465479347,0.625
volume_heavy,validation,10,0.002,0.5233406749952965,3.70019105545221,3.2415637612067236,0.45862729424548654,-0.13430997629176167,-0.1617839465479347,0.6666666666666666
volume_heavy,validation,15,0.002,0.821257105737816,3.91074863142563,3.2415637612067236,0.6691848702189063,-0.09063054890721178,-0.1617839465479347,0.6666666666666666
