date,model,portfolio_size,selected_tickers,ticker_scores,portfolio_return
2018-09-30,trend_following,15,"BIMAS.IS, THYAO.IS, TUPRS.IS, SISE.IS, KCHOL.IS, FROTO.IS, ASELS.IS, TCELL.IS, PGSUS.IS, PETKM.IS, AKBNK.IS, GARAN.IS, EREGL.IS, ARCLK.IS, SAHOL.IS","BIMAS.IS:0.7588, THYAO.IS:0.7176, TUPRS.IS:0.7118, SISE.IS:0.6971, KCHOL.IS:0.6971, FROTO.IS:0.6235, ASELS.IS:0.5471, TCELL.IS:0.5206, PGSUS.IS:0.5147, PETKM.IS:0.4912, AKBNK.IS:0.4706, GARAN.IS:0.4647, EREGL.IS:0.3853, ARCLK.IS:0.3853, SAHOL.IS:0.3765",-0.09986862546274115
2018-09-30,volume_heavy,3,"FROTO.IS, SISE.IS, BIMAS.IS","FROTO.IS:0.7206, SISE.IS:0.6971, BIMAS.IS:0.6765",-0.10921185590259837
2018-09-30,volume_heavy,5,"FROTO.IS, SISE.IS, BIMAS.IS, TUPRS.IS, AKBNK.IS","FROTO.IS:0.7206, SISE.IS:0.6971, BIMAS.IS:0.6765, TUPRS.IS:0.6676, AKBNK.IS:0.5971",-0.08399438691775077
2018-09-30,volume_heavy,10,"FROTO.IS, SISE.IS, BIMAS.IS, TUPRS.IS, AKBNK.IS, TCELL.IS, THYAO.IS, PGSUS.IS, YKBNK.IS, KCHOL.IS","FROTO.IS:0.7206, SISE.IS:0.6971, BIMAS.IS:0.6765, TUPRS.IS:0.6676, AKBNK.IS:0.5971, TCELL.IS:0.5853, THYAO.IS:0.5706, PGSUS.IS:0.5500, YKBNK.IS:0.5324, KCHOL.IS:0.5206",-0.12410875500304494
2018-09-30,volume_heavy,15,"FROTO.IS, SISE.IS, BIMAS.IS, TUPRS.IS, AKBNK.IS, TCELL.IS, THYAO.IS, PGSUS.IS, YKBNK.IS, KCHOL.IS, GARAN.IS, SAHOL.IS, EREGL.IS, ASELS.IS, PETKM.IS","FROTO.IS:0.7206, SISE.IS:0.6971, BIMAS.IS:0.6765, TUPRS.IS:0.6676, AKBNK.IS:0.5971, TCELL.IS:0.5853, THYAO.IS:0.5706, PGSUS.IS:0.5500, YKBNK.IS:0.5324, KCHOL.IS:0.5206, GARAN.IS:0.5000, SAHOL.IS:0.4912, EREGL.IS:0.4088, ASELS.IS:0.4029, PETKM.IS:0.4000",-0.11690701601376616
2018-10-31,low_volatility,3,"BIMAS.IS, KCHOL.IS, ARCLK.IS","BIMAS.IS:0.8824, KCHOL.IS:0.8632, ARCLK.IS:0.8044",0.024484670566938337
2018-10-31,low_volatility,5,"BIMAS.IS, KCHOL.IS, ARCLK.IS, TUPRS.IS, ASELS.IS","BIMAS.IS:0.8824, KCHOL.IS:0.8632, ARCLK.IS:0.8044, TUPRS.IS:0.7485, ASELS.IS:0.6221",0.017262425254153446
2018-10-31,low_volatility,10,"BIMAS.IS, KCHOL.IS, ARCLK.IS, TUPRS.IS, ASELS.IS, TOASO.IS, TCELL.IS, SAHOL.IS, SISE.IS, EREGL.IS","BIMAS.IS:0.8824, KCHOL.IS:0.8632, ARCLK.IS:0.8044, TUPRS.IS:0.7485, ASELS.IS:0.6221, TOASO.IS:0.5985, TCELL.IS:0.5809, SAHOL.IS:0.5074, SISE.IS:0.4515, EREGL.IS:0.4426",0.01788179996863396
2018-10-31,low_volatility,15,"BIMAS.IS, KCHOL.IS, ARCLK.IS, TUPRS.IS, ASELS.IS, TOASO.IS, TCELL.IS, SAHOL.IS, SISE.IS, EREGL.IS, AKBNK.IS, GARAN.IS, FROTO.IS, PETKM.IS, THYAO.IS","BIMAS.IS:0.8824, KCHOL.IS:0.8632, ARCLK.IS:0.8044, TUPRS.IS:0.7485, ASELS.IS:0.6221, TOASO.IS:0.5985, TCELL.IS:0.5809, SAHOL.IS:0.5074, SISE.IS:0.4515, EREGL.IS:0.4426, AKBNK.IS:0.4368, GARAN.IS:0.3956, FROTO.IS:0.3868, PETKM.IS:0.3721, THYAO.IS:0.3485",0.04906831739227383
2018-10-31,mixed_model,3,"ARCLK.IS, TUPRS.IS, BIMAS.IS","ARCLK.IS:0.8382, TUPRS.IS:0.8294, BIMAS.IS:0.8235",0.013412938048669686
2018-10-31,mixed_model,5,"ARCLK.IS, TUPRS.IS, BIMAS.IS, KCHOL.IS, TOASO.IS","ARCLK.IS:0.8382, TUPRS.IS:0.8294, BIMAS.IS:0.8235, KCHOL.IS:0.7794, TOASO.IS:0.5882",-0.012121593084335445
2018-10-31,mixed_model,10,"ARCLK.IS, TUPRS.IS, BIMAS.IS, KCHOL.IS, TOASO.IS, TCELL.IS, PETKM.IS, AKBNK.IS, SISE.IS, ASELS.IS","ARCLK.IS:0.8382, TUPRS.IS:0.8294, BIMAS.IS:0.8235, KCHOL.IS:0.7794, TOASO.IS:0.5882, TCELL.IS:0.5824, PETKM.IS:0.5618, AKBNK.IS:0.5500, SISE.IS:0.5265, ASELS.IS:0.5059",0.04035665642278173
2018-10-31,mixed_model,15,"ARCLK.IS, TUPRS.IS, BIMAS.IS, KCHOL.IS, TOASO.IS, TCELL.IS, PETKM.IS, AKBNK.IS, SISE.IS, ASELS.IS, GARAN.IS, FROTO.IS, SAHOL.IS, EREGL.IS, YKBNK.IS","ARCLK.IS:0.8382, TUPRS.IS:0.8294, BIMAS.IS:0.8235, KCHOL.IS:0.7794, TOASO.IS:0.5882, TCELL.IS:0.5824, PETKM.IS:0.5618, AKBNK.IS:0.5500, SISE.IS:0.5265, ASELS.IS:0.5059, GARAN.IS:0.5059, FROTO.IS:0.4735, SAHOL.IS:0.3529, EREGL.IS:0.3382, YKBNK.IS:0.2853",0.03876913212035622
2018-10-31,momentum_heavy,3,"TUPRS.IS, ARCLK.IS, BIMAS.IS","TUPRS.IS:0.8956, ARCLK.IS:0.8368, BIMAS.IS:0.8235",0.013412938048669686
2018-10-31,momentum_heavy,5,"TUPRS.IS, ARCLK.IS, BIMAS.IS, KCHOL.IS, PETKM.IS","TUPRS.IS:0.8956, ARCLK.IS:0.8368, BIMAS.IS:0.8235, KCHOL.IS:0.7691, PETKM.IS:0.6456",0.013533030101228884
2018-10-31,momentum_heavy,10,"TUPRS.IS, ARCLK.IS, BIMAS.IS, KCHOL.IS, PETKM.IS, TCELL.IS, TOASO.IS, AKBNK.IS, FROTO.IS, SISE.IS","TUPRS.IS:0.8956, ARCLK.IS:0.8368, BIMAS.IS:0.8235, KCHOL.IS:0.7691, PETKM.IS:0.6456, TCELL.IS:0.5809, TOASO.IS:0.5750, AKBNK.IS:0.5515, FROTO.IS:0.5279, SISE.IS:0.5250",0.027600384984351183
2018-10-31,momentum_heavy,15,"TUPRS.IS, ARCLK.IS, BIMAS.IS, KCHOL.IS, PETKM.IS, TCELL.IS, TOASO.IS, AKBNK.IS, FROTO.IS, SISE.IS, ASELS.IS, GARAN.IS, SAHOL.IS, EREGL.IS, THYAO.IS","TUPRS.IS:0.8956, ARCLK.IS:0.8368, BIMAS.IS:0.8235, KCHOL.IS:0.7691, PETKM.IS:0.6456, TCELL.IS:0.5809, TOASO.IS:0.5750, AKBNK.IS:0.5515, FROTO.IS:0.5279, SISE.IS:0.5250, ASELS.IS:0.5103, GARAN.IS:0.4956, SAHOL.IS:0.3279, EREGL.IS:0.2985, THYAO.IS:0.2485",0.04906831739227383
2018-10-31,trend_following,3,"BIMAS.IS, TUPRS.IS, ARCLK.IS","BIMAS.IS:0.8647, TUPRS.IS:0.8529, ARCLK.IS:0.8324",0.013412938048669686
2018-10-31,trend_following,5,"BIMAS.IS, TUPRS.IS, ARCLK.IS, KCHOL.IS, TCELL.IS","BIMAS.IS:0.8647, TUPRS.IS:0.8529, ARCLK.IS:0.8324, KCHOL.IS:0.7853, TCELL.IS:0.6235",0.02855610815005403
2018-10-31,trend_following,10,"BIMAS.IS, TUPRS.IS, ARCLK.IS, KCHOL.IS, TCELL.IS, AKBNK.IS, GARAN.IS, PETKM.IS, TOASO.IS, SISE.IS","BIMAS.IS:0.8647, TUPRS.IS:0.8529, ARCLK.IS:0.8324, KCHOL.IS:0.7853, TCELL.IS:0.6235, AKBNK.IS:0.6059, GARAN.IS:0.5794, PETKM.IS:0.5529, TOASO.IS:0.5147, SISE.IS:0.4765",0.05300232678079716
2018-10-31,trend_following,15,"BIMAS.IS, TUPRS.IS, ARCLK.IS, KCHOL.IS, TCELL.IS, AKBNK.IS, GARAN.IS, PETKM.IS, TOASO.IS, SISE.IS, FROTO.IS, ASELS.IS, SAHOL.IS, EREGL.IS, THYAO.IS","BIMAS.IS:0.8647, TUPRS.IS:0.8529, ARCLK.IS:0.8324, KCHOL.IS:0.7853, TCELL.IS:0.6235, AKBNK.IS:0.6059, GARAN.IS:0.5794, PETKM.IS:0.5529, TOASO.IS:0.5147, SISE.IS:0.4765, FROTO.IS:0.4735, ASELS.IS:0.4559, SAHOL.IS:0.3294, EREGL.IS:0.3088, THYAO.IS:0.2765",0.04906831739227383
2018-10-31,volume_heavy,3,"ARCLK.IS, BIMAS.IS, KCHOL.IS","ARCLK.IS:0.8971, BIMAS.IS:0.7412, KCHOL.IS:0.7324",0.024484670566938337
2018-10-31,volume_heavy,5,"ARCLK.IS, BIMAS.IS, KCHOL.IS, TOASO.IS, TUPRS.IS","ARCLK.IS:0.8971, BIMAS.IS:0.7412, KCHOL.IS:0.7324, TOASO.IS:0.6824, TUPRS.IS:0.6500",-0.012121593084335445
2018-10-31,volume_heavy,10,"ARCLK.IS, BIMAS.IS, KCHOL.IS, TOASO.IS, TUPRS.IS, AKBNK.IS, SISE.IS, GARAN.IS, TCELL.IS, PETKM.IS","ARCLK.IS:0.8971, BIMAS.IS:0.7412, KCHOL.IS:0.7324, TOASO.IS:0.6824, TUPRS.IS:0.6500, AKBNK.IS:0.6176, SISE.IS:0.6118, GARAN.IS:0.6059, TCELL.IS:0.5559, PETKM.IS:0.4471",0.05300232678079716
