policy_id,policy_name,date,symbol,rank,score,relative_strength_1m,relative_strength_3m,relative_strength_6m,relative_strength_20d,trend_score,volume_increase,volatility,avg_traded_value,forward_return
RS_TOP10,BIST100 relative-strength survival Top10,2026-07-01,YKBNK.IS,8,0.5590909090909091,0.15007184898959047,0.10762832934694222,-0.14428462649969642,0.15335872022973596,1.0,-0.008217096639550281,0.030703481815681898,6232714654.19351,-0.06354675155965672
RS_TOP10,BIST100 relative-strength survival Top10,2026-07-01,AKBNK.IS,9,0.5454545454545454,0.16984839983967315,0.05761598029833115,-0.12709535020468343,0.17290227299750138,1.0,0.035346469319823104,0.03122105701733164,9446417451.239624,-0.052665363577162005
RS_TOP10,BIST100 relative-strength survival Top10,2026-07-01,AEFES.IS,10,0.5363636363636363,0.02310538533535733,0.1315867422965893,0.060748668329348776,0.009218973412578935,1.0,-0.16285822906600256,0.02462917000731147,701384716.5106074,-0.017257938629824943
RS_TOP3,BIST100 relative-strength survival Top3,2026-07-01,KTLEV.IS,1,0.7840909090909091,0.34605481418383355,1.1343038132008445,7.769076798273356,0.2768298126100195,1.0,-0.16648592606507562,0.031079108308266427,5551109470.989751,0.043749982660467035
RS_TOP3,BIST100 relative-strength survival Top3,2026-07-01,ENERY.IS,2,0.7386363636363636,0.2477606197685418,0.14773354607145173,-0.06263504749696791,0.2565305652002712,1.0,0.2792186569951658,0.027175635220433546,722018929.8509436,-0.15221241044217637
RS_TOP3,BIST100 relative-strength survival Top3,2026-07-01,AHGAZ.IS,3,0.7318181818181817,0.21659670514487206,0.6291777698255856,0.5020843088634601,0.21897187448165512,1.0,-0.2310239253225016,0.028312756777856902,190216032.48636073,-0.09559945641047607
RS_TOP5,BIST100 relative-strength survival Top5,2026-07-01,KTLEV.IS,1,0.7840909090909091,0.34605481418383355,1.1343038132008445,7.769076798273356,0.2768298126100195,1.0,-0.16648592606507562,0.031079108308266427,5551109470.989751,0.043749982660467035
RS_TOP5,BIST100 relative-strength survival Top5,2026-07-01,ENERY.IS,2,0.7386363636363636,0.2477606197685418,0.14773354607145173,-0.06263504749696791,0.2565305652002712,1.0,0.2792186569951658,0.027175635220433546,722018929.8509436,-0.15221241044217637
RS_TOP5,BIST100 relative-strength survival Top5,2026-07-01,AHGAZ.IS,3,0.7318181818181817,0.21659670514487206,0.6291777698255856,0.5020843088634601,0.21897187448165512,1.0,-0.2310239253225016,0.028312756777856902,190216032.48636073,-0.09559945641047607
RS_TOP5,BIST100 relative-strength survival Top5,2026-07-01,SKBNK.IS,4,0.7295454545454545,0.2671007074014913,0.4745841800623902,0.8919347220391718,0.2766684447543837,1.0,-0.08162536624663785,0.03371986617262708,535071212.0380126,0.04919975592270154
RS_TOP5,BIST100 relative-strength survival Top5,2026-07-01,ISGYO.IS,5,0.6931818181818182,0.178932429012713,0.13334693184141289,-0.08678514003337456,0.1699467960797132,1.0,0.6778236247036438,0.027673226718518445,135358759.8088646,-0.012810236216504345
RS_TOP5_NO_CASH,Survival Top5 without MA200 cash filter,2026-07-01,KTLEV.IS,1,0.7840909090909091,0.34605481418383355,1.1343038132008445,7.769076798273356,0.2768298126100195,1.0,-0.16648592606507562,0.031079108308266427,5551109470.989751,0.043749982660467035
RS_TOP5_NO_CASH,Survival Top5 without MA200 cash filter,2026-07-01,ENERY.IS,2,0.7386363636363636,0.2477606197685418,0.14773354607145173,-0.06263504749696791,0.2565305652002712,1.0,0.2792186569951658,0.027175635220433546,722018929.8509436,-0.15221241044217637
RS_TOP5_NO_CASH,Survival Top5 without MA200 cash filter,2026-07-01,AHGAZ.IS,3,0.7318181818181817,0.21659670514487206,0.6291777698255856,0.5020843088634601,0.21897187448165512,1.0,-0.2310239253225016,0.028312756777856902,190216032.48636073,-0.09559945641047607
RS_TOP5_NO_CASH,Survival Top5 without MA200 cash filter,2026-07-01,SKBNK.IS,4,0.7295454545454545,0.2671007074014913,0.4745841800623902,0.8919347220391718,0.2766684447543837,1.0,-0.08162536624663785,0.03371986617262708,535071212.0380126,0.04919975592270154
RS_TOP5_NO_CASH,Survival Top5 without MA200 cash filter,2026-07-01,ISGYO.IS,5,0.6931818181818182,0.178932429012713,0.13334693184141289,-0.08678514003337456,0.1699467960797132,1.0,0.6778236247036438,0.027673226718518445,135358759.8088646,-0.012810236216504345
