policy,replay_month,actual_trading_date,portfolio_return,bist100_return,excess_return,max_drawdown,cash_weight,selected_model,active_portfolio_size,selected_stock_count,selected_stocks,regime_state,opportunity_filter_enabled,policy_policy,policy_months,policy_cagr,policy_bist100_cagr,policy_excess_cagr,policy_win_rate_vs_bist100,policy_max_drawdown,policy_average_cash_weight,policy_worst_month,policy_worst_month_excess,policy_best_month,policy_best_month_excess
H_Disable_opportunity_filter,2024-04,2024-04-01,0.13354289935160094,0.11479125498681375,0.018751644364787184,-0.02059158316039833,0.0,volume_heavy,10,10,"KCHOL.IS, FROTO.IS, GARAN.IS, THYAO.IS, SAHOL.IS, YKBNK.IS, AKBNK.IS, TUPRS.IS, BIMAS.IS, TOASO.IS",ABOVE_MA200_RISK_ON,False,H_Disable_opportunity_filter,30,0.21914347716099636,0.22859654327465062,-0.009453066113654263,0.4666666666666667,-0.13614562039419909,0.0,2025-04,-0.051006805496163946,2025-03,0.0839589045526572
I_Disable_regime_filter,2024-04,2024-04-01,0.04596581666124915,0.11479125498681375,-0.06882543832556459,-0.013436590227201672,0.5,volume_heavy,10,5,"KCHOL.IS, FROTO.IS, THYAO.IS, YKBNK.IS, TOASO.IS",ABOVE_MA200_RISK_ON,True,I_Disable_regime_filter,30,0.11454267003893936,0.22859654327465062,-0.11405387323571126,0.36666666666666664,-0.11428273089953778,0.5,2026-01,-0.09908925787280704,2024-09,0.08659413821412065
Baseline,2024-05,2024-05-02,0.02250800940870841,0.03409831624425297,-0.011590306835544559,-0.040422561061303375,0.5,volume_heavy,10,5,"KCHOL.IS, SAHOL.IS, YKBNK.IS, PGSUS.IS, TOASO.IS",ABOVE_MA200_RISK_ON,True,Baseline,30,0.11174423381489351,0.22859654327465062,-0.11685230945975711,0.36666666666666664,-0.0961058298904891,0.4933333333333333,2025-06,-0.10965124642664374,2024-09,0.08659413821412065
A_No_cash_allocation,2024-05,2024-05-02,0.04501601881741682,0.03409831624425297,0.010917702573163851,-0.07656222706361748,0.0,volume_heavy,10,5,"KCHOL.IS, SAHOL.IS, YKBNK.IS, PGSUS.IS, TOASO.IS",ABOVE_MA200_RISK_ON,True,A_No_cash_allocation,30,0.21341543337206503,0.22859654327465062,-0.015181109902585588,0.4,-0.15766963333904171,0.0,2025-06,-0.07763909403803826,2025-03,0.09668780694860593
B_Max_cash_25pct,2024-05,2024-05-02,0.03376201411306261,0.03409831624425297,-0.0003363021311903608,-0.05898405597581813,0.25,volume_heavy,10,5,"KCHOL.IS, SAHOL.IS, YKBNK.IS, PGSUS.IS, TOASO.IS",ABOVE_MA200_RISK_ON,True,B_Max_cash_25pct,30,0.1624509374844858,0.22859654327465062,-0.06614560579016482,0.36666666666666664,-0.11942029988039005,0.25,2025-06,-0.09097749086662388,2025-03,0.08229781509050355
C_Max_cash_50pct,2024-05,2024-05-02,0.02250800940870841,0.03409831624425297,-0.011590306835544559,-0.040422561061303375,0.5,volume_heavy,10,5,"KCHOL.IS, SAHOL.IS, YKBNK.IS, PGSUS.IS, TOASO.IS",ABOVE_MA200_RISK_ON,True,C_Max_cash_50pct,30,0.11264334153498945,0.22859654327465062,-0.11595320173966117,0.36666666666666664,-0.0961058298904891,0.48333333333333334,2025-06,-0.1043158876952095,2024-09,0.08659413821412065
D_Always_Top5,2024-05,2024-05-02,0.02529548900931617,0.03409831624425297,-0.008802827234936798,-0.06985541755095992,0.4,volume_heavy,5,3,"KCHOL.IS, SAHOL.IS, YKBNK.IS",ABOVE_MA200_RISK_ON,True,D_Always_Top5,30,0.08339085292685988,0.22859654327465062,-0.14520569034779074,0.3333333333333333,-0.10035405962123112,0.4200000000000001,2025-06,-0.10965124642664374,2025-01,0.09412463595970594
E_Always_Top10,2024-05,2024-05-02,0.02250800940870841,0.03409831624425297,-0.011590306835544559,-0.040422561061303375,0.5,volume_heavy,10,5,"KCHOL.IS, SAHOL.IS, YKBNK.IS, PGSUS.IS, TOASO.IS",ABOVE_MA200_RISK_ON,True,E_Always_Top10,30,0.08493449273173903,0.22859654327465062,-0.1436620505429116,0.36666666666666664,-0.09543436579584741,0.5033333333333333,2026-01,-0.09908925787280704,2024-09,0.08659413821412065
F_Out_of_sample_winner,2024-05,2024-05-02,0.04581356846497158,0.03409831624425297,0.011715252220718612,-0.025995676076863927,0.4666666666666667,mixed_model,15,8,"YKBNK.IS, GARAN.IS, SAHOL.IS, PGSUS.IS, BIMAS.IS, FROTO.IS, TOASO.IS, ASELS.IS",ABOVE_MA200_RISK_ON,True,F_Out_of_sample_winner,30,0.14871001102864856,0.22859654327465062,-0.07988653224600206,0.5333333333333333,-0.09663444377764097,0.4666666666666667,2026-01,-0.11195915796122803,2024-09,0.0642295829050277
G_Most_robust_model,2024-05,2024-05-02,0.04581356846497158,0.03409831624425297,0.011715252220718612,-0.025995676076863927,0.4666666666666667,mixed_model,15,8,"YKBNK.IS, GARAN.IS, SAHOL.IS, PGSUS.IS, BIMAS.IS, FROTO.IS, TOASO.IS, ASELS.IS",ABOVE_MA200_RISK_ON,True,G_Most_robust_model,30,0.14871001102864856,0.22859654327465062,-0.07988653224600206,0.5333333333333333,-0.09663444377764097,0.4666666666666667,2026-01,-0.11195915796122803,2024-09,0.0642295829050277
H_Disable_opportunity_filter,2024-05,2024-05-02,0.04828906351680763,0.03409831624425297,0.014190747272554663,-0.0516010561510194,0.0,volume_heavy,10,10,"KCHOL.IS, SAHOL.IS, AKBNK.IS, YKBNK.IS, ARCLK.IS, PGSUS.IS, TUPRS.IS, TOASO.IS, THYAO.IS, GARAN.IS",ABOVE_MA200_RISK_ON,False,H_Disable_opportunity_filter,30,0.21914347716099636,0.22859654327465062,-0.009453066113654263,0.4666666666666667,-0.13614562039419909,0.0,2025-04,-0.051006805496163946,2025-03,0.0839589045526572
I_Disable_regime_filter,2024-05,2024-05-02,0.02250800940870841,0.03409831624425297,-0.011590306835544559,-0.040422561061303375,0.5,volume_heavy,10,5,"KCHOL.IS, SAHOL.IS, YKBNK.IS, PGSUS.IS, TOASO.IS",ABOVE_MA200_RISK_ON,True,I_Disable_regime_filter,30,0.11454267003893936,0.22859654327465062,-0.11405387323571126,0.36666666666666664,-0.11428273089953778,0.5,2026-01,-0.09908925787280704,2024-09,0.08659413821412065
Baseline,2024-06,2024-06-03,0.01797612941911869,0.011878606925778579,0.006097522493340113,-0.035117254722044744,0.5,volume_heavy,10,5,"AKBNK.IS, TOASO.IS, YKBNK.IS, GARAN.IS, TUPRS.IS",ABOVE_MA200_RISK_ON,True,Baseline,30,0.11174423381489351,0.22859654327465062,-0.11685230945975711,0.36666666666666664,-0.0961058298904891,0.4933333333333333,2025-06,-0.10965124642664374,2024-09,0.08659413821412065
A_No_cash_allocation,2024-06,2024-06-03,0.03595225883823738,0.011878606925778579,0.024073651912458804,-0.07023450944408949,0.0,volume_heavy,10,5,"AKBNK.IS, TOASO.IS, YKBNK.IS, GARAN.IS, TUPRS.IS",ABOVE_MA200_RISK_ON,True,A_No_cash_allocation,30,0.21341543337206503,0.22859654327465062,-0.015181109902585588,0.4,-0.15766963333904171,0.0,2025-06,-0.07763909403803826,2025-03,0.09668780694860593
B_Max_cash_25pct,2024-06,2024-06-03,0.02696419412867804,0.011878606925778579,0.015085587202899462,-0.05267588208306706,0.25,volume_heavy,10,5,"AKBNK.IS, TOASO.IS, YKBNK.IS, GARAN.IS, TUPRS.IS",ABOVE_MA200_RISK_ON,True,B_Max_cash_25pct,30,0.1624509374844858,0.22859654327465062,-0.06614560579016482,0.36666666666666664,-0.11942029988039005,0.25,2025-06,-0.09097749086662388,2025-03,0.08229781509050355
C_Max_cash_50pct,2024-06,2024-06-03,0.01797612941911869,0.011878606925778579,0.006097522493340113,-0.035117254722044744,0.5,volume_heavy,10,5,"AKBNK.IS, TOASO.IS, YKBNK.IS, GARAN.IS, TUPRS.IS",ABOVE_MA200_RISK_ON,True,C_Max_cash_50pct,30,0.11264334153498945,0.22859654327465062,-0.11595320173966117,0.36666666666666664,-0.0961058298904891,0.48333333333333334,2025-06,-0.1043158876952095,2024-09,0.08659413821412065
D_Always_Top5,2024-06,2024-06-03,0.023608199786724324,0.011878606925778579,0.011729592860945746,-0.039987574401902704,0.4,volume_heavy,5,3,"AKBNK.IS, TOASO.IS, YKBNK.IS",ABOVE_MA200_RISK_ON,True,D_Always_Top5,30,0.08339085292685988,0.22859654327465062,-0.14520569034779074,0.3333333333333333,-0.10035405962123112,0.4200000000000001,2025-06,-0.10965124642664374,2025-01,0.09412463595970594
