section,model,bucket,count,average_next_month_return,median_next_month_return,win_rate,average_excess_return,factor,pearson_corr,spearman_corr,label,win_rate_vs_bist100,cagr,bist100_cagr,excess_cagr,max_drawdown,portfolio,top_decile_capture,top_two_decile_capture,top3_capture,top5_capture,average_pre_move_rank,top_bottom_spread,top_quintile_return,bottom_quintile_return
topn_forward,trend_following,,96,0.0512376841328191,0.04042949534743956,0.625,0.01968672200861922,,,,trend_following_Top1,0.4583333333333333,0.6421338352359363,0.39324979343446764,0.24888404180146861,-0.30290310220324024,Top1,,,,,,,,
topn_forward,trend_following,,96,0.03920518293515718,0.02659695114147074,0.6458333333333334,0.007654220810957298,,,,trend_following_Top3,0.5104166666666666,0.5010526172259953,0.39324979343446764,0.10780282379152761,-0.33566737960733317,Top3,,,,,,,,
topn_forward,trend_following,,96,0.040449043562318716,0.023088389887431747,0.6666666666666666,0.008898081438118835,,,,trend_following_Top5,0.59375,0.5342925343940397,0.39324979343446764,0.14104274095957203,-0.2402005028373404,Top5,,,,,,,,
topn_forward,trend_following,,96,0.03712652663786762,0.025900306242901534,0.6354166666666666,0.005575564513667735,,,,trend_following_Top10,0.5833333333333334,0.48368086778736963,0.39324979343446764,0.09043107435290199,-0.232385693874531,Top10,,,,,,,,
topn_forward,trend_following,,96,0.0366852090288565,0.0259903969348313,0.6354166666666666,0.005134246904656615,,,,trend_following_Bottom10,0.5625,0.4643773815673955,0.39324979343446764,0.07112758813292785,-0.2963402127677268,Bottom10,,,,,,,,
topn_forward,volume_heavy,,96,0.038724180835082604,0.02848807230083561,0.6041666666666666,0.007173218710882722,,,,volume_heavy_Top1,0.40625,0.43757178452596857,0.39324979343446764,0.04432199109150092,-0.3357500198024609,Top1,,,,,,,,
topn_forward,volume_heavy,,96,0.033139235000425225,0.030735386400436125,0.6145833333333334,0.0015882728762253388,,,,volume_heavy_Top3,0.5,0.40177677242799525,0.39324979343446764,0.008526978993527612,-0.37267459018096416,Top3,,,,,,,,
topn_forward,volume_heavy,,96,0.034155765730951256,0.02242895796026838,0.65625,0.002604803606751372,,,,volume_heavy_Top5,0.5833333333333334,0.4291235216212961,0.39324979343446764,0.035873728186828435,-0.2637181727467157,Top5,,,,,,,,
topn_forward,volume_heavy,,96,0.037969595982492256,0.0269409741236495,0.625,0.0064186338582923755,,,,volume_heavy_Top10,0.5833333333333334,0.4960578088781822,0.39324979343446764,0.10280801544371454,-0.22502515527345546,Top10,,,,,,,,
topn_forward,volume_heavy,,96,0.040160946445119285,0.02993770429583591,0.6666666666666666,0.008609984320919403,,,,volume_heavy_Bottom10,0.625,0.5284395897166538,0.39324979343446764,0.1351897962821862,-0.27236378561012986,Bottom10,,,,,,,,
topn_forward_all_models,ALL,,480,0.038466894401932586,0.02681097465625905,0.65,0.006915932277732702,,,,ALL_Bottom10,0.5791666666666667,0.4956858324119351,0.39324979343446764,0.10243603897746745,-0.3087457980263708,Bottom10,,,,,,,,
topn_forward_all_models,ALL,,480,0.04590770846522183,0.028588331933403044,0.6166666666666667,0.014356746341021952,,,,ALL_Top1,0.4395833333333333,0.5616106108674295,0.39324979343446764,0.16836081743296183,-0.3440123367661665,Top1,,,,,,,,
topn_forward_all_models,ALL,,480,0.03731793041580762,0.026672034832567904,0.6208333333333333,0.005766968291607729,,,,ALL_Top10,0.56875,0.4861523059418733,0.39324979343446764,0.09290251250740567,-0.24216697075400173,Top10,,,,,,,,
topn_forward_all_models,ALL,,480,0.03669213346239468,0.02485594960158024,0.63125,0.005141171338194796,,,,ALL_Top3,0.5,0.46102910607014747,0.39324979343446764,0.06777931263567982,-0.37267459018096427,Top3,,,,,,,,
topn_forward_all_models,ALL,,480,0.03797393938871989,0.023000737902317436,0.6416666666666667,0.00642297726452001,,,,ALL_Top5,0.5895833333333333,0.4925966370813222,0.39324979343446764,0.09934684364685453,-0.2637181727467157,Top5,,,,,,,,
pre_move_detection,low_volatility,,480,,,,,,,,,,,,,,,0.10625,0.22083333333333335,0.16666666666666666,0.2708333333333333,9.327083333333333,,,
pre_move_detection,mixed_model,,480,,,,,,,,,,,,,,,0.12708333333333333,0.2291666666666667,0.1729166666666667,0.29375,8.981250000000001,,,
pre_move_detection,momentum_heavy,,480,,,,,,,,,,,,,,,0.12708333333333333,0.24583333333333335,0.18333333333333335,0.28750000000000003,8.958333333333334,,,
pre_move_detection,trend_following,,480,,,,,,,,,,,,,,,0.125,0.2416666666666667,0.1875,0.29375,8.927083333333334,,,
pre_move_detection,volume_heavy,,480,,,,,,,,,,,,,,,0.125,0.2104166666666667,0.16666666666666666,0.26666666666666666,9.058333333333332,,,
pre_move_detection_all_models,ALL,,2400,,,,,,,,,,,,,,,0.12208333333333332,0.22958333333333336,0.17541666666666667,0.28250000000000003,9.050416666666669,,,
factor_importance,,,8160,,,,,score,,-0.0057900382290944335,,,,,,,,,,,,,-0.0017113515893687828,0.03721551775890859,0.038926869348277375
factor_importance,,,7989,,,,,expected_return_mid,,-0.05256999104399977,,,,,,,,,,,,,-0.008850630149815589,0.024821060131177214,0.0336716902809928
factor_importance,,,8160,,,,,momentum_1m,,-0.01247951355561261,,,,,,,,,,,,,-0.0007530894526026899,0.0469580283721119,0.04771111782471459
factor_importance,,,8160,,,,,momentum_3m,,-0.03516694178166343,,,,,,,,,,,,,-0.00854459247078096,0.03958909714720754,0.0481336896179885
factor_importance,,,8160,,,,,momentum_6m,,-0.004930075366837045,,,,,,,,,,,,,0.001003749800907415,0.04295672136576433,0.04195297156485692
factor_importance,,,8160,,,,,volume_increase,,-0.04468481674915126,,,,,,,,,,,,,-0.011344027086349514,0.026548790869068164,0.03789281795541768
factor_importance,,,8160,,,,,volatility,,0.15116375380067856,,,,,,,,,,,,,0.055903714713656544,0.07527092670839185,0.019367211994735303
