policy,base_model,base_portfolio_size,period,months,bear_months,avg_exposure,total_return,bist100_total_return,excess_return_vs_bist100,max_drawdown,bist100_max_drawdown,win_rate,robustness_score
baseline,trend_following,3,train,39,12,1.0,1.1847530242116804,1.2208251837732145,-0.03607215956153409,-0.34552817980743633,-0.24757740982109977,0.6410256410256411,-0.4066156986635862
baseline,trend_following,3,validation,24,0,1.0,5.372736297669317,3.2415637612067236,2.1311725364625937,-0.11682135684373118,-0.1617839465479347,0.625,2.210029822775131
baseline,trend_following,5,out_of_sample,32,7,1.0,0.34448586207918397,0.590013878393095,-0.24552801631391108,-0.19440535246968682,-0.1675447420399082,0.53125,-0.3687137212532847
baseline,trend_following,5,train,39,12,1.0,2.2999691179499737,1.2208251837732145,1.0791439341767592,-0.24519634952542857,-0.24757740982109977,0.6923076923076923,0.9349050812797483
baseline,trend_following,5,validation,24,0,1.0,4.400848646698813,3.2415637612067236,1.159284885492089,-0.10584547903144381,-0.1617839465479347,0.625,1.2600939274292013
baseline,trend_following,10,out_of_sample,32,7,1.0,0.3477598252887468,0.590013878393095,-0.24225405310434822,-0.22207827488823884,-0.1675447420399082,0.5,-0.4364106028808259
baseline,trend_following,10,train,39,12,1.0,1.9771166691378799,1.2208251837732145,0.7562914853646654,-0.23588922913793264,-0.24757740982109977,0.6410256410256411,0.6050258476016206
baseline,trend_following,10,validation,24,0,1.0,3.6895091742606985,3.2415637612067236,0.44794541305397484,-0.1330582257687889,-0.1617839465479347,0.6666666666666666,0.5151622948497303
baseline,trend_following,15,out_of_sample,32,7,1.0,0.5470759371943243,0.590013878393095,-0.0429379411987707,-0.1746576870089822,-0.1675447420399082,0.59375,-0.09537831521673512
baseline,trend_following,15,train,39,12,1.0,1.7938632147106515,1.2208251837732145,0.573038030937437,-0.25637307372568496,-0.24757740982109977,0.6410256410256411,0.3808047039988876
baseline,trend_following,15,validation,24,0,1.0,3.7498770778928723,3.2415637612067236,0.5083133166861487,-0.09860309531173539,-0.1617839465479347,0.6666666666666666,0.6444404593960111
baseline,volume_heavy,3,out_of_sample,32,7,1.0,0.2335724090615907,0.590013878393095,-0.35644146933150433,-0.2015967108203065,-0.1675447420399082,0.5,-0.5096348909721173
