date,model,portfolio_size,symbol,rank,score,forward_return
2022-04-30,mixed_model,5,SISE.IS,2,0.7352941176470589,0.1807144648881005
2022-04-30,mixed_model,5,SAHOL.IS,3,0.7323529411764705,0.058882260299130795
2022-04-30,mixed_model,5,ARCLK.IS,4,0.6970588235294117,0.15590205809555924
2022-04-30,mixed_model,5,EREGL.IS,5,0.6323529411764706,0.019070375132649087
2022-05-31,mixed_model,5,SISE.IS,1,0.8411764705882353,0.02478550097145793
2022-05-31,mixed_model,5,THYAO.IS,2,0.8411764705882352,-0.06212429397630792
2022-05-31,mixed_model,5,ARCLK.IS,3,0.8,-0.06872193246694203
2022-05-31,mixed_model,5,TUPRS.IS,4,0.7352941176470589,-0.02434526532260939
2022-05-31,mixed_model,5,SAHOL.IS,5,0.7058823529411765,-0.10885953769827661
2022-06-30,mixed_model,5,PGSUS.IS,1,0.8647058823529412,-0.01812865745748704
2022-06-30,mixed_model,5,THYAO.IS,2,0.8647058823529411,0.07692319887296728
2022-06-30,mixed_model,5,SISE.IS,3,0.7823529411764706,0.014883802776679778
2022-06-30,mixed_model,5,TUPRS.IS,4,0.7647058823529411,0.014744765623476486
2022-06-30,mixed_model,5,ARCLK.IS,5,0.6470588235294117,-0.10482754855382292
2022-07-31,mixed_model,5,THYAO.IS,1,0.8264705882352941,0.4503966985703727
2022-07-31,mixed_model,5,BIMAS.IS,2,0.7970588235294117,0.18783970902576663
2022-07-31,mixed_model,5,SISE.IS,3,0.7352941176470588,0.13565553897009996
2022-07-31,mixed_model,5,FROTO.IS,4,0.6764705882352942,0.09610291912107272
2022-07-31,mixed_model,5,TUPRS.IS,5,0.6647058823529411,0.3386735156349374
2022-08-31,mixed_model,5,GARAN.IS,1,0.7647058823529411,-0.15521729319469835
2022-08-31,mixed_model,5,PETKM.IS,2,0.75,-0.14008324875701583
2022-08-31,mixed_model,5,THYAO.IS,3,0.7470588235294118,-0.03419979012555929
2022-08-31,mixed_model,5,YKBNK.IS,4,0.7411764705882353,0.004261450692545576
2022-08-31,mixed_model,5,TUPRS.IS,5,0.6823529411764706,-0.19398825092521887
2022-09-30,mixed_model,5,PGSUS.IS,1,0.8029411764705882,0.34424855233434615
2022-09-30,mixed_model,5,THYAO.IS,2,0.7147058823529411,0.4348442926019407
2022-09-30,mixed_model,5,BIMAS.IS,3,0.7058823529411764,0.15816780011703435
2022-09-30,mixed_model,5,YKBNK.IS,4,0.6852941176470588,0.3026873511207602
2022-09-30,mixed_model,5,SISE.IS,5,0.676470588235294,0.3068448305460294
2022-10-31,mixed_model,5,THYAO.IS,1,0.8470588235294118,0.1846002415757828
2022-10-31,mixed_model,5,PGSUS.IS,2,0.838235294117647,0.22423486514609192
2022-10-31,mixed_model,5,YKBNK.IS,3,0.6882352941176472,0.3083605185621685
2022-10-31,mixed_model,5,SAHOL.IS,4,0.6823529411764706,0.25044735114759686
2022-10-31,mixed_model,5,SISE.IS,5,0.6735294117647058,0.17700188000359263
