replay_month,requested_date,actual_trading_date,holding_days,portfolio_return,bist100_return,excess_return,max_drawdown,cash_weight,selected_model,active_portfolio_size,selected_stock_count,selected_stocks,regime_state,bist100_below_ma200,opportunity_threshold,confidence_score
2025-01,2025-01-01,2025-01-02,30,0.010956576406333931,-0.018762554144150623,0.029719130550484554,-0.016900972403028458,0.5,volume_heavy,10,5,"ASELS.IS, THYAO.IS, SISE.IS, GARAN.IS, SAHOL.IS",ABOVE_MA200_RISK_ON,False,0.039915865318728816,50.86
2025-02,2025-02-01,2025-02-03,30,0.07737259481744237,0.04240671807874019,0.034965876738702176,-0.03228444371582717,0.4,low_volatility,5,3,"ASELS.IS, THYAO.IS, PGSUS.IS",BELOW_MA200_DEFENSIVE,True,0.06057775601517257,68.19
2025-03,2025-03-01,2025-03-03,30,0.034535980459445746,-0.03912783951619636,0.07366381997564211,-0.08030613613920001,0.4,low_volatility,5,3,"THYAO.IS, ASELS.IS, PGSUS.IS",BELOW_MA200_DEFENSIVE,True,0.02675125297279013,61.45
2025-04,2025-04-01,2025-04-02,30,-0.06521342756583737,-0.03735051360224828,-0.027862913963589087,-0.09610582989048921,0.4,low_volatility,5,3,"FROTO.IS, PGSUS.IS, ARCLK.IS",BELOW_MA200_DEFENSIVE,True,0.03995993519777685,72.18
2025-05,2025-05-01,2025-05-02,30,-0.02430534383574503,-0.017310865898019223,-0.006994477937725806,-0.06730305591395502,0.4,low_volatility,5,3,"TUPRS.IS, EREGL.IS, FROTO.IS",BELOW_MA200_DEFENSIVE,True,0.04722086321986807,70.75
2025-06,2025-06-01,2025-06-02,30,0.02134143492573699,0.13099268135238074,-0.10965124642664374,-0.06348956183749233,0.6,low_volatility,5,2,"PGSUS.IS, THYAO.IS",BELOW_MA200_DEFENSIVE,True,0.0,74.09
2025-07,2025-07-01,2025-07-01,30,0.0559541394689565,0.06575139685776632,-0.009797257388809821,-0.010086872986483697,0.5,volume_heavy,10,5,"GARAN.IS, EREGL.IS, TUPRS.IS, ASELS.IS, SAHOL.IS",ABOVE_MA200_RISK_ON,False,0.05292197651804431,58.35
2025-08,2025-08-01,2025-08-01,30,0.00780663024243582,0.04960076766013599,-0.041794137417700175,-0.016605894635189467,0.5,volume_heavy,10,5,"TUPRS.IS, ASELS.IS, GARAN.IS, ARCLK.IS, YKBNK.IS",ABOVE_MA200_RISK_ON,False,0.058148465336663846,70.79
2025-09,2025-09-01,2025-09-01,30,-0.008881705667243346,-0.005301401124778393,-0.0035803045424649526,-0.04660647723252087,0.5,volume_heavy,10,5,"EREGL.IS, SISE.IS, TOASO.IS, ARCLK.IS, GARAN.IS",ABOVE_MA200_RISK_ON,False,0.02007958376240443,71.52
2025-10,2025-10-01,2025-10-01,30,-0.025985031450495612,-0.02216539731763434,-0.003819634132861273,-0.06224841007715687,0.5,volume_heavy,10,5,"YKBNK.IS, ASELS.IS, BIMAS.IS, GARAN.IS, TOASO.IS",ABOVE_MA200_RISK_ON,False,0.040390698894663235,71.26
2025-11,2025-11-01,2025-11-03,30,-0.008310464626099934,-0.0021337912827734673,-0.006176673343326467,-0.030412202510966213,0.5,volume_heavy,10,5,"TUPRS.IS, KCHOL.IS, FROTO.IS, GARAN.IS, ASELS.IS",ABOVE_MA200_RISK_ON,False,0.019723637198252653,63.99
2025-12,2025-12-01,2025-12-01,30,0.027929234773163468,0.013043673818198265,0.014885560954965203,-0.010197791701390901,0.5,volume_heavy,10,5,"TUPRS.IS, GARAN.IS, TOASO.IS, AKBNK.IS, ASELS.IS",ABOVE_MA200_RISK_ON,False,0.02616920028643749,67.84
2026-01,2026-01-01,2026-01-02,30,0.08551029834943252,0.18459955622223956,-0.09908925787280704,-0.007703511874464164,0.5,volume_heavy,10,5,"SISE.IS, YKBNK.IS, KCHOL.IS, TOASO.IS, TUPRS.IS",ABOVE_MA200_RISK_ON,False,0.032490459197886845,72.61
2026-02,2026-02-01,2026-02-02,30,-0.01219122595630563,-0.04976138350249615,0.037570157546190516,-0.045523633714265044,0.5,volume_heavy,10,5,"ASELS.IS, SISE.IS, FROTO.IS, TUPRS.IS, TOASO.IS",ABOVE_MA200_RISK_ON,False,0.049444965464653046,65.31
2026-03,2026-03-01,2026-03-02,30,-0.04157270743635344,-0.03060750374962118,-0.010965203686732261,-0.05126940014135983,0.5,volume_heavy,10,5,"EREGL.IS, ASELS.IS, FROTO.IS, TOASO.IS, AKBNK.IS",ABOVE_MA200_RISK_ON,False,0.014560922900915207,67.18
2026-04,2026-04-01,2026-04-01,30,0.054385636684355546,0.11065931685387143,-0.05627368016951588,-0.024897507971142097,0.5,volume_heavy,10,5,"BIMAS.IS, TOASO.IS, ASELS.IS, SAHOL.IS, AKBNK.IS",ABOVE_MA200_RISK_ON,False,0.04179796477705644,71.9
2026-05,2026-05-01,2026-05-04,30,-0.038281365868757466,-0.04631998298273743,0.008038617113979962,-0.06841592892644943,0.5,volume_heavy,10,5,"TUPRS.IS, ASELS.IS, TOASO.IS, AKBNK.IS, FROTO.IS",ABOVE_MA200_RISK_ON,False,0.020392558101634428,68.05
2026-06,2026-06-01,2026-06-01,30,0.0,0.0,0.0,0.0,0.5,volume_heavy,10,5,"SISE.IS, BIMAS.IS, TOASO.IS, FROTO.IS, ARCLK.IS",ABOVE_MA200_RISK_ON,False,0.03130315479832918,64.35
